gene,DFS.HV.CTC.5,ZZY.HV.CTC24,ZZY.HV.CTC5,ZZY.HV.CTC6,ZZY.HV.CTC7,GRL.HV.CTC14,GRL.HV.CTC15,GRL.HV.CTC18,LYT.PA.CTC.7,GHM.PA.CTC1,GHM.PA.CTC2,GHM.PA.CTC4,GHM.PA.CTC6,GRL.PA.CTC1,GRL.PV.CTC4,JYQ.PV.CTC2,DFS.PoV.CTC.3,DFS.PoV.CTC.4,DFS.PoV.CTC.6,LYT.PoV.CTC.1,LYT.PoV.CTC.5,LYT.PoV.CTC.6,XDY.PoV.CTC1,XDY.PoV.CTC3,XDY.PoV.CTC4,XDY.PoV.CTC5,XDY.PoV.CTC6,ZZY.PoV.CTC1,GHM.PoV.CTC2,XYQ.HV.CTC.15,XYQ.HV.CTC.16,XYQ.HV.CTC.2,XYQ.HV.CTC.5,LYT.PV.CTC.6,LYT.PV.CTC.9,XYQ.PV.CTC.11,LYT.PV.CTC.4,XYQ.PV.CTC.6,LFG.PV.CTC2,LFG.PV.CTC4,XDY.HV.CTC6,XDY.HV.CTC8,JYQ.HV.CTC1,LFG.HV.CTC1,LFG.HV.CTC4,GRL.PA.CTC2,JYQ.PA.CTC3,DFS.PV.CTC.2,DFS.PV.CTC.3,DFS.PV.CTC.4,LYT.HV.CTC.12,LYT.HV.CTC.14,LYT.HV.CTC.2,LYT.HV.CTC.4,XYQ.HV.CTC.7,XYQ.HV.CTC.8,JYQ.HV.CTC4,HYL.HV.CTC.4,HYL.HV.CTC.5,HYL.HV.CTC.7,HYL.HV.CTC.8,LYT.HV.CTC.10,GRL.HV.CTC3,XDY.HV.CTC10,XDY.HV.CTC11,XDY.HV.CTC12,XDY.HV.CTC1,XDY.HV.CTC3,HYL.PV.CTC.5,HYL.PV.CTC.6,HYL.PV.CTC.7,LYT.PV.CTC.10,LYT.PV.CTC.12,LYT.PV.CTC.13,LYT.PV.CTC.14,LYT.PV.CTC.15,LYT.PV.CTC.16,LYT.PV.CTC.20,LYT.PV.CTC.21,LYT.PV.CTC.22,LYT.PV.CTC.25,LYT.PV.CTC.26,LYT.PoV.CTC.2,LYT.PoV.CTC.4,LYT.PA.CTC.1,LYT.PA.CTC.3,LYT.PA.CTC.5,LYT.PA.CTC.6,XDY.PV.CTC8,GRL.PV.CTC1,GRL.PV.CTC2,GRL.PV.CTC3,ZZY.HV.CTC14,ZZY.HV.CTC17,ZZY.HV.CTC19,ZZY.HV.CTC22,JYQ.HV.CTC6,HYL.HV.CTC.1,HYL.HV.CTC.2,HYL.HV.CTC.3,DFS.PV.CTC.6,DFS.PV.CTC.7,HYL.PV.CTC.1,HYL.PV.CTC.2,HYL.PV.CTC.4,LFG.PV.CTC5,LFG.PV.CTC7,XDY.PV.CTC11,XDY.PV.CTC2,XDY.PV.CTC3,GRL.PoV.CTC1,LYT.HV.CTC.7,ZZY.HV.CTC11
MIR584,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.077368744,8.352466792,8.608191628,7.828449855,7.101343198,7.548019238,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.051040709,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.885166946,8.245524025,7.101343198,7.101343198,7.985132372,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.934336395,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.89373389,7.101343198,7.101343198,7.101343198,7.101343198,7.827081714,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.153052923,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.949694605,7.101343198,7.101343198,7.101343198,7.101343198,8.292638851,8.446617739,7.101343198,8.221367094,8.347149728,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.660545271,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.603759132,7.101343198,7.101343198,7.101343198,7.101343198
RABL2A,7.334639114,7.601257564,7.375561155,7.50187414,7.381565733,7.101343198,7.101343198,7.101343198,7.738894492,8.191534953,7.958242157,8.166310383,7.101343198,8.215842085,7.20135525,7.101343198,7.364446342,7.6142804,7.363297545,7.101343198,7.101343198,8.184315782,7.101343198,7.614833915,8.338566163,7.101343198,7.981278105,7.253249353,7.964234929,7.101343198,7.291240112,7.101343198,7.432772211,7.810705937,7.564131035,7.101343198,7.613058713,7.348452598,7.101343198,7.101343198,7.640289903,7.101343198,7.101343198,7.101343198,7.101343198,7.908481576,7.101343198,7.17674523,7.536202598,7.101343198,7.101343198,7.872934778,8.030968036,7.575006704,7.227712682,7.101343198,7.101343198,7.59159006,7.199297913,7.325105612,7.21355184,7.518113703,7.101343198,7.101343198,7.101343198,7.101343198,7.943682366,7.145914841,7.214653934,7.196731652,7.562828058,7.45628389,7.185376104,7.660794928,7.493560549,7.675780654,7.942782794,7.661007214,7.556448837,7.951937319,7.884797399,7.821211011,8.208280405,7.26003703,8.01794215,8.10006339,7.720133661,8.247397029,7.101343198,7.101343198,7.18319491,7.275911501,7.53404229,7.54209858,7.206362489,7.420987917,7.458820961,7.101343198,7.101343198,7.238016639,7.205571535,7.101343198,7.101343198,7.101343198,7.618013166,7.101343198,7.101343198,7.101343198,7.820994801,7.101343198,7.101343198,7.237986311,7.101343198
RAMP3,8.11227686,7.127927734,7.101343198,7.101343198,7.974262426,7.385175806,8.055422167,7.101343198,8.65348413,7.803873084,8.890646917,8.455877546,8.672453377,8.51107394,7.101343198,7.23610363,7.101343198,7.560736871,8.286610893,8.239849459,7.721850337,7.101343198,8.928875116,8.052798198,8.429913082,7.101343198,7.101343198,8.371430721,7.897265021,7.101343198,7.101343198,7.101343198,7.260617216,7.583836934,7.101343198,7.961505317,8.408348608,7.101343198,7.239499282,7.101343198,7.101343198,7.533621299,7.101343198,7.101343198,7.101343198,8.63162636,7.101343198,7.101343198,7.257038091,9.105999445,7.101343198,8.045173574,7.101343198,7.101343198,7.101343198,8.136303242,7.101343198,8.037904537,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.345728078,7.101343198,7.101343198,8.162579711,8.209372252,7.101343198,8.232866012,7.101343198,8.249489294,7.902991872,7.935163369,7.101343198,7.298118437,7.101343198,7.101343198,7.707963285,8.384905954,7.101343198,7.101343198,7.271940975,8.390942891,7.371475772,8.293948638,8.311970284,7.991503768,7.101343198,9.271178393,9.263552094,7.101343198,7.241964216,7.101343198,7.88318184,7.101343198,8.163655058,7.282694503,8.012675764,7.306350333,8.173926337,8.305579648,8.160621027,7.101343198,7.101343198,7.101343198,8.815103773,7.101343198,7.194424967,7.101343198,8.603593456,8.083218418,7.710303142
FLJ43681,7.64826897,7.410550909,7.456390527,7.298885781,7.252546959,7.101343198,7.130923517,7.101343198,8.697458553,8.663174491,8.788846304,8.568698017,8.483793912,7.101343198,7.197827479,8.477313284,7.661764591,7.736068983,7.460317118,8.275171193,8.724484504,8.476269008,7.847159539,7.377099886,7.101343198,7.63594709,7.581233518,7.488365585,7.790518746,7.593204646,7.674769675,7.46928946,7.530342845,8.365217559,7.874524813,7.360289269,8.860276972,7.781949557,7.463436986,7.101343198,7.455207248,7.101343198,8.158931548,7.382628546,7.101343198,7.53630693,7.700862173,7.384559653,7.448397599,7.101343198,8.744156015,8.518771845,8.61062883,8.278788924,7.640679731,7.380903721,8.086217653,7.545671169,7.452866944,7.493659984,7.209702884,8.23773576,7.101343198,7.948458655,7.670197441,7.128087231,7.565062143,7.27764559,7.646578294,7.632406256,7.925805694,8.347106963,8.336350221,8.261261756,8.383270424,8.48859975,8.303098259,8.684517395,8.697583957,8.473045076,8.089205051,8.767815322,8.965503782,8.427543395,8.733784651,8.843671254,8.727741149,8.850880057,7.571039288,7.101343198,7.633853696,7.270141655,7.375228148,7.234080516,7.235912714,7.526669904,7.977224409,7.389806427,7.101343198,7.423203937,7.802234971,7.386430871,7.744587946,7.436493207,7.449126727,7.422980367,7.627703337,7.756240236,7.469056561,7.400810165,7.383408386,8.554249521,7.241031245
RPL23AP7,7.101343198,7.509173573,7.650278647,7.440967833,7.209643237,7.185934188,7.101343198,7.101343198,9.098862807,9.04095016,9.192684426,8.987069302,8.875780601,7.136479022,7.215812294,9.061838766,7.101343198,7.42046921,7.168297174,8.53795239,9.123187155,8.845552311,8.198665809,7.835879906,7.101343198,8.227003602,8.131359372,7.579187011,8.138529936,7.101343198,7.872844734,7.518157021,7.717680185,8.537154031,8.161689346,7.101343198,9.122523261,7.101343198,8.156954772,7.101343198,7.685248192,7.101343198,8.846716716,7.407694478,7.101343198,7.818292855,8.222331979,7.485741909,7.380797715,7.101343198,9.083383548,8.748380992,8.882215091,8.600762246,7.101343198,7.101343198,8.656465992,7.390435759,7.213167793,7.660044666,7.101343198,8.512233611,7.101343198,8.427494854,8.08707048,7.163620867,8.029352495,7.480004131,7.101343198,7.58241615,7.366417664,8.549731456,8.635100966,8.513047848,8.577096732,8.640229437,8.612333717,8.983326919,8.957454774,8.732209764,8.479368629,9.119498511,9.265064962,8.708450188,9.022743128,9.071937555,9.001658871,9.107617117,7.951716443,7.101343198,7.277445836,7.101343198,7.275924954,7.120599478,7.384133279,7.546526294,8.546817544,7.101343198,7.244879964,7.612078393,7.658983665,7.620659065,7.44681984,7.294910132,7.337880714,7.313812264,7.568178695,8.271496254,7.723914232,7.67362429,8.256166707,8.891102492,7.140515162
RPL23AP82,7.361422267,7.605319753,7.648330515,7.503379448,7.542635451,7.426556363,7.101343198,7.101343198,8.9806497,8.890075093,9.040405797,8.853638723,8.740454288,7.101343198,7.101343198,8.802242752,7.499844038,7.313414292,7.479708174,8.427159853,9.006289716,8.728358464,8.117880271,7.881913,7.101343198,7.842876691,7.62396808,7.35811224,8.066450626,7.455775749,7.524137378,7.670059568,7.587163413,8.447122524,8.068944216,7.101343198,8.881127642,7.261483119,7.587059059,7.101343198,7.7428994,7.101343198,8.758224736,7.782214434,7.101343198,7.623218495,7.509724986,7.594573048,7.79474552,7.286272525,8.927738648,8.621895578,8.770484509,8.4127528,7.245884349,7.101343198,8.406462358,7.391427495,7.213649825,7.734618635,7.229792684,8.360142721,7.101343198,8.044547276,8.011045999,7.133544906,7.832331231,7.400826571,7.231195902,7.4368897,7.101343198,8.419056196,8.523040638,8.325376024,8.422405248,8.41130878,8.444674946,8.836210941,8.909046304,8.637687262,8.353253672,9.051104269,9.232248208,8.502201017,8.904930469,8.9857544,8.93647559,9.023483882,7.656917363,7.101343198,7.416411105,7.101343198,7.495077305,7.525667941,7.601305322,7.680817078,8.26537389,7.506572388,7.447276721,7.547712928,7.96387869,7.264773685,7.558437367,7.752802806,7.233537717,8.029898592,7.222554439,7.985123577,7.636071965,7.528488231,7.906602434,8.739359835,7.431017759
SV2C,7.72734311,7.101343198,7.101343198,7.101343198,7.101343198,7.544181315,7.129629698,7.132463158,7.96280603,7.91473076,8.615412521,8.397926143,8.351838716,7.747069135,7.193807771,7.181528523,7.101343198,7.101343198,7.510344757,7.794840531,7.963942635,7.776985521,7.101343198,7.648113018,7.101343198,7.101343198,7.101343198,7.745415517,7.120887925,7.101343198,7.718982708,7.25170125,8.155907219,7.284167886,7.101343198,7.41298369,7.101343198,7.101343198,7.725621223,8.424272366,7.101343198,7.82889967,7.911774981,7.123604417,7.101343198,7.99445891,7.101343198,7.101343198,7.101343198,7.101343198,7.733940785,7.101343198,7.101343198,7.101343198,7.101343198,7.207364431,7.471680923,7.799661818,7.599118183,7.101343198,7.897777933,7.240061771,7.101343198,8.020757953,7.101343198,7.330563447,8.093941988,7.632398088,7.933420224,7.743538068,7.475669942,7.780567569,7.564654956,7.101343198,7.528749674,7.101343198,7.101343198,7.101343198,7.606974321,7.44592217,7.101343198,7.101343198,7.549010901,7.101343198,7.584185125,7.897728195,7.626434046,7.804700072,8.107718766,7.472200405,8.512509992,7.101343198,7.117699539,7.116705667,7.29872165,7.101343198,7.681264502,7.379963391,7.843629003,7.644302692,7.101343198,7.101343198,7.777968822,7.468877905,7.909836345,8.014424699,7.686789397,8.183563269,7.190174609,7.177367476,8.077972,7.485268146,7.101343198
BCLAF1,8.295525058,8.014355677,8.105925769,7.732208253,8.030701158,7.764824359,8.040521276,8.339779337,8.231988162,7.167058362,7.119164707,7.14745681,7.148076612,7.128714941,7.439298129,8.152613242,8.289965495,8.349927172,8.191179686,8.229256586,7.101343198,8.365901893,8.462802519,8.396446974,8.011962831,8.080360366,8.062409672,8.295166268,8.321530295,7.859030088,8.148277032,7.423535642,7.728324028,8.313717702,8.19673563,7.196164297,8.035207005,7.811777026,8.359199224,7.132186396,8.309913627,8.284255812,7.299143784,8.444142043,7.335239273,7.320860827,7.172139109,8.200982659,8.421486528,7.248097766,7.487311594,8.364123599,8.002072287,8.517213085,7.101343198,7.101343198,7.754232008,7.977781245,7.974242236,8.194645146,7.837911367,8.530857564,8.764890018,7.152822969,8.344433079,7.28003159,7.934991336,8.208473313,7.503096537,7.53602517,7.89156313,8.230315045,8.16847221,8.2581993,8.292298152,8.648676915,8.353258319,8.195220007,7.869636689,8.150313149,8.386255889,7.934743973,7.723094242,8.192780761,7.133040061,7.538139694,7.434270373,7.251145527,7.757564534,7.992604537,7.262243749,7.282753056,8.01538767,8.14158041,8.108237126,7.927687608,8.002589688,7.954198709,7.69956711,7.665168591,7.968515125,8.131289606,7.977950604,8.317488269,7.988733912,7.101343198,7.338320026,7.158100099,7.987019919,8.13960343,7.555486075,7.875287382,8.102829365
TSPAN2,7.250805459,7.425989486,7.542308736,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.469432895,8.45138367,8.879425668,8.395953978,8.659059404,7.804423667,7.101343198,9.141471791,7.101343198,7.101343198,7.101343198,7.39689078,8.764330213,7.86576349,8.545403089,7.101343198,7.101343198,7.101343198,7.101343198,8.384041813,8.096751725,7.101343198,8.159600514,8.20969496,7.475283208,7.847994251,7.986760712,8.180536029,8.589669397,7.939529322,7.338133422,7.101343198,7.101343198,7.101343198,8.592492063,7.101343198,8.66738024,8.16567077,7.554558672,7.876417347,7.101343198,7.101343198,7.214233119,7.947525085,8.540215155,7.36085284,7.101343198,8.633705728,8.512574609,7.888219833,8.032938909,7.101343198,7.644709396,7.985355331,7.101343198,8.468699926,7.101343198,7.101343198,7.101343198,7.913932636,8.314485342,7.667621696,8.200946735,8.246010618,7.98337544,8.288810917,7.517054563,7.101343198,7.345733776,7.936962217,8.204318142,8.07034355,7.98532126,7.285363058,8.382488848,7.261789476,8.165107318,8.436498653,8.353269417,8.24976399,8.403221472,7.186513815,8.481644781,8.611883497,7.101343198,7.101343198,7.213489995,7.101343198,8.156821323,7.930159044,8.000942152,7.994831523,7.101343198,8.168329445,8.295725057,8.093527015,8.067171629,7.101343198,8.451700889,7.377111675,7.373583657,7.889456221,7.101343198,8.163321143,7.101343198
FOS,8.438443669,8.398556966,8.7021156,8.265353431,8.683102199,8.567423766,8.131815744,9.053450014,7.101343198,7.20762778,7.345009998,7.101343198,7.21169728,7.131962048,8.844726129,7.101343198,8.379805086,8.312596246,8.227150476,8.226609489,7.101343198,8.404475363,8.899026064,8.367552426,7.833293281,8.464573716,8.553327169,8.056851253,7.122679523,8.681743431,7.905625914,8.281367619,7.847842723,8.489661556,7.508376303,8.081066994,7.101343198,7.101343198,7.960171126,7.101343198,7.101343198,7.101343198,9.019244549,7.101343198,7.101343198,7.101343198,7.180245604,7.956928092,8.140861856,9.415339615,7.101343198,8.332097065,7.627001207,7.101343198,7.33069022,7.519037866,7.936339013,8.548647974,8.423303512,7.90564007,8.653920073,7.101343198,8.982218649,7.101343198,7.101343198,7.101343198,7.216456984,7.101343198,8.983793202,8.71068478,8.73622377,7.101343198,7.101343198,7.753945166,8.540360743,8.300847321,7.101343198,8.733334919,8.389820455,8.460126662,8.609248432,8.576458986,7.388434242,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.186755483,8.941981152,7.322362707,9.290943557,8.619452475,8.345576629,8.668692494,8.495559311,8.445187376,8.605648061,7.998359253,8.5378521,8.848308774,8.55194053,8.978296271,8.560476697,8.838510604,7.101343198,7.101343198,8.458117888,8.022211121,8.308331444,7.717559216,7.101343198,7.221745014
