gene,DFS.HV.CTC.5,ZZY.HV.CTC24,ZZY.HV.CTC5,ZZY.HV.CTC6,ZZY.HV.CTC7,GRL.HV.CTC14,GRL.HV.CTC15,GRL.HV.CTC18,LYT.PA.CTC.7,GHM.PA.CTC1,GHM.PA.CTC2,GHM.PA.CTC4,GHM.PA.CTC6,GRL.PA.CTC1,GRL.PV.CTC4,JYQ.PV.CTC2,DFS.PoV.CTC.3,DFS.PoV.CTC.4,DFS.PoV.CTC.6,LYT.PoV.CTC.1,LYT.PoV.CTC.5,LYT.PoV.CTC.6,XDY.PoV.CTC1,XDY.PoV.CTC3,XDY.PoV.CTC4,XDY.PoV.CTC5,XDY.PoV.CTC6,ZZY.PoV.CTC1,GHM.PoV.CTC2,XYQ.HV.CTC.15,XYQ.HV.CTC.16,XYQ.HV.CTC.2,XYQ.HV.CTC.5,LYT.PV.CTC.6,LYT.PV.CTC.9,XYQ.PV.CTC.11,LYT.PV.CTC.4,XYQ.PV.CTC.6,LFG.PV.CTC2,LFG.PV.CTC4,XDY.HV.CTC6,XDY.HV.CTC8,JYQ.HV.CTC1,LFG.HV.CTC1,LFG.HV.CTC4,GRL.PA.CTC2,JYQ.PA.CTC3,DFS.PV.CTC.2,DFS.PV.CTC.3,DFS.PV.CTC.4,LYT.HV.CTC.12,LYT.HV.CTC.14,LYT.HV.CTC.2,LYT.HV.CTC.4,XYQ.HV.CTC.7,XYQ.HV.CTC.8,JYQ.HV.CTC4,HYL.HV.CTC.4,HYL.HV.CTC.5,HYL.HV.CTC.7,HYL.HV.CTC.8,LYT.HV.CTC.10,GRL.HV.CTC3,XDY.HV.CTC10,XDY.HV.CTC11,XDY.HV.CTC12,XDY.HV.CTC1,XDY.HV.CTC3,HYL.PV.CTC.5,HYL.PV.CTC.6,HYL.PV.CTC.7,LYT.PV.CTC.10,LYT.PV.CTC.12,LYT.PV.CTC.13,LYT.PV.CTC.14,LYT.PV.CTC.15,LYT.PV.CTC.16,LYT.PV.CTC.20,LYT.PV.CTC.21,LYT.PV.CTC.22,LYT.PV.CTC.25,LYT.PV.CTC.26,LYT.PoV.CTC.2,LYT.PoV.CTC.4,LYT.PA.CTC.1,LYT.PA.CTC.3,LYT.PA.CTC.5,LYT.PA.CTC.6,XDY.PV.CTC8,GRL.PV.CTC1,GRL.PV.CTC2,GRL.PV.CTC3,ZZY.HV.CTC14,ZZY.HV.CTC17,ZZY.HV.CTC19,ZZY.HV.CTC22,JYQ.HV.CTC6,HYL.HV.CTC.1,HYL.HV.CTC.2,HYL.HV.CTC.3,DFS.PV.CTC.6,DFS.PV.CTC.7,HYL.PV.CTC.1,HYL.PV.CTC.2,HYL.PV.CTC.4,LFG.PV.CTC5,LFG.PV.CTC7,XDY.PV.CTC11,XDY.PV.CTC2,XDY.PV.CTC3,GRL.PoV.CTC1,LYT.HV.CTC.7,ZZY.HV.CTC11
ANGPTL3,7.101343198,8.393519344,8.319935991,8.422609098,8.192570536,8.488696852,7.80009349,8.44669821,8.111732155,7.670246958,8.948522108,8.331398958,8.751270518,8.687483217,7.101343198,7.189851381,8.274745334,8.027161784,7.101343198,7.766998391,7.101343198,8.099544362,8.791686917,8.025219466,8.029638106,8.66173927,9.061330878,8.089353863,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.243939714,7.101343198,7.672964705,7.101343198,8.38025663,8.391779677,7.101343198,7.902393195,8.776700077,7.295059627,7.101343198,7.101343198,7.321706562,8.678512649,7.178143733,7.101343198,7.858711694,8.789692615,8.356097584,7.101343198,8.355441977,7.101343198,7.101343198,8.009391676,7.424757104,7.745182378,7.234251129,7.308431669,7.101343198,7.101343198,8.62034911,8.060762592,9.060690003,8.768705575,7.502402775,7.101343198,7.406840841,7.429317838,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.678228799,8.3738651,7.872230888,8.031985702,7.694981577,8.164757926,7.101343198,7.101343198,7.101343198,7.101343198,8.376661118,8.05505142,8.093022233,8.190131823,8.055119382,7.584237743,7.331892546,7.511093975,7.101343198,7.398549202,7.353967122,7.571348471,7.577123138,7.101343198,8.499926405,7.101343198,7.101343198,7.101343198,8.254501647,8.28793146,7.984153502
MIR584,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.077368744,8.352466792,8.608191628,7.828449855,7.101343198,7.548019238,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.051040709,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.885166946,8.245524025,7.101343198,7.101343198,7.985132372,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.934336395,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.89373389,7.101343198,7.101343198,7.101343198,7.101343198,7.827081714,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.153052923,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.949694605,7.101343198,7.101343198,7.101343198,7.101343198,8.292638851,8.446617739,7.101343198,8.221367094,8.347149728,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.660545271,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.603759132,7.101343198,7.101343198,7.101343198,7.101343198
GATM,7.43340734,8.283362047,8.445645932,8.491068769,8.635639199,8.761950183,8.33854044,9.162788025,8.20081563,8.245811013,9.195535857,8.705290813,8.982763154,9.302626007,7.101343198,7.300918612,7.424505621,7.460665279,7.430448026,8.071854503,8.53987743,7.774640869,9.101765962,7.755008354,8.473336908,8.901544656,9.104906896,8.419288104,7.101343198,7.101343198,7.101343198,7.297403349,7.101343198,7.531022667,7.834515028,7.101343198,7.101343198,8.70077129,7.563761878,7.222149715,8.050965781,9.006821052,7.703421382,7.101343198,9.528935032,8.13546066,7.998637221,7.101343198,7.581625208,7.946587749,8.752464491,7.360377943,8.684142883,8.573717848,7.101343198,7.101343198,8.058582155,8.143528311,7.944765218,7.58320747,8.094489488,8.480105913,9.241711866,8.959859263,8.469993641,8.720788894,8.977989807,8.437367633,7.562325759,7.365522043,7.511856405,7.101343198,7.589672879,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.340441774,8.596775713,7.101343198,7.837736508,8.459729824,7.65565818,8.451865235,8.28520217,8.304229632,7.101343198,7.511057846,7.101343198,7.313570921,8.479046542,8.39102811,8.314946861,8.446432615,8.221803162,7.71233377,7.858371229,7.616315492,7.483744495,7.42851262,7.644124775,7.71621922,7.789377201,8.345516013,8.806799409,7.207610654,7.101343198,7.12605481,9.143366007,8.592981783,8.379019443
CHMP4C,7.160555469,8.005878134,8.044701689,7.805361967,7.942610097,7.101343198,7.101343198,7.101343198,8.011353657,7.561907553,7.101343198,8.452381433,8.335710826,8.417610397,7.217279718,7.101343198,7.352813982,7.753499505,8.029661358,7.213032026,7.101343198,7.59462627,7.101343198,8.08520633,7.101343198,7.101343198,7.101343198,7.101343198,7.126145771,7.534029054,7.959680417,7.101343198,7.320228131,7.18918204,7.216435726,7.101343198,7.101343198,7.101343198,7.101343198,8.794781213,7.101343198,7.101343198,8.95903744,7.101343198,7.101343198,8.574034134,7.101343198,7.14760032,7.220683327,7.101343198,7.101343198,8.144037563,7.101343198,7.101343198,7.101343198,7.959264527,7.460798069,7.101343198,7.382283554,8.071960303,7.101343198,7.271980872,7.101343198,7.101343198,7.101343198,7.101343198,8.31921408,7.101343198,7.337354079,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.252760616,7.508952555,7.101343198,7.605303748,7.652666854,7.101343198,7.264275218,7.101343198,8.408675218,8.150503088,7.782602433,7.218167517,7.936991335,7.101343198,7.101343198,7.101343198,7.101343198,8.069821426,8.10108623,8.17238832,8.022139529,8.268335562,7.101343198,7.101343198,7.550326952,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.480490583,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.158302234
ADH1A,7.82360249,7.684188377,8.031218526,7.35676424,8.378241371,8.93087536,9.038542138,9.098270773,8.605037923,8.744590774,9.134226316,8.988657305,9.095648062,8.673848978,7.101343198,7.226849568,8.308232061,7.101343198,7.101343198,8.056267172,8.976258154,7.748950556,8.781453302,7.678782342,8.476530663,8.79544864,9.110301354,8.455284508,7.161077589,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.497315539,7.101343198,8.950598986,7.808087333,7.242033608,8.278599161,9.013651008,7.849201009,7.101343198,9.586554331,7.271252973,8.193858368,7.101343198,7.432486287,7.101343198,8.885121473,8.473730984,8.947238478,8.331802893,7.101343198,7.101343198,8.767026487,7.926229311,7.89362358,7.568839823,8.22692715,8.659933344,9.248063798,8.962707305,8.224412961,8.637493474,9.069730437,8.455149056,7.262617627,7.498134566,7.286114066,7.101343198,8.188718632,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.237880013,7.101343198,8.681019552,7.101343198,8.199458651,8.641596466,7.645440317,8.591532453,8.501418613,8.528357433,7.134787671,7.277070731,7.219909597,7.101343198,7.808575627,7.189976218,7.682569787,7.743624857,8.472169573,7.936498906,8.116452871,7.988105021,7.101343198,7.431767753,7.43798043,7.546383632,7.389303825,9.005639523,8.904806718,7.184141779,7.101343198,7.101343198,9.173961591,8.971563926,8.104552959
FABP1,8.182492869,8.387421054,8.672015133,8.415690566,8.830873191,9.077436685,9.259889041,9.394550447,8.667858042,9.050719779,9.357709729,9.014946976,9.240106907,8.625613817,7.101343198,7.419202324,7.488238017,8.558593171,8.374599205,8.538984912,9.410136232,8.854060815,8.89704184,8.06930981,8.727372097,8.914925982,9.148660236,8.740904273,7.101343198,8.707508038,7.101343198,7.101343198,8.497037052,7.101343198,7.101343198,9.127275935,7.101343198,9.232569367,7.687362879,9.29535154,8.09792146,9.181718118,8.93074012,7.101343198,9.647855682,8.395368522,9.062600703,7.101343198,7.78156287,8.289900652,9.411788039,8.827681278,9.189390032,8.504631563,8.519406337,7.101343198,8.716311216,8.348450729,8.290847382,7.831888388,8.541551792,9.012053687,9.569662503,8.980438635,8.47044715,8.77366816,9.065688767,8.567687194,7.835058486,7.82497992,8.152592156,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,9.029719166,7.101343198,8.611370501,9.287588004,8.955795488,9.158200099,8.890686584,9.029303579,7.101343198,7.101343198,7.404660167,7.101343198,8.675254741,8.660629488,8.314068222,8.427196211,8.288709275,8.531445247,8.397306319,8.710951409,7.64553348,7.525859468,8.157393303,7.871891659,7.694337317,9.650831803,9.182281795,7.316485397,7.101343198,7.217441603,9.277549732,9.238122154,8.398651552
HRSP12,8.308892325,8.299736547,8.317812377,8.414224393,8.407063221,8.998941851,9.018370263,9.34027236,8.130675112,8.637201442,9.329116625,8.597116468,8.877341696,9.187401595,7.101343198,7.411050551,8.358533613,7.68959067,8.197921972,7.856611639,8.96142009,7.668659795,9.004882481,7.691699333,8.735062308,8.863277062,8.954370435,8.567590423,8.28550975,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.461677485,7.101343198,8.857820613,7.197000369,7.101343198,8.135341897,9.000098611,8.220609684,8.153159591,9.128512151,7.457878306,8.960547879,8.095461212,7.694321664,7.763129833,8.328582044,8.657924085,8.736155968,8.561463404,7.101343198,7.101343198,8.878610654,8.174850674,8.553558069,8.425355837,8.333547281,7.101343198,9.393138472,8.754057796,8.414646236,9.163915309,8.69267436,8.431790835,7.474071408,7.722119247,8.716416694,7.101343198,8.075763016,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.389468324,8.530515201,7.101343198,8.323856191,8.767855838,8.595007889,8.840313069,8.379562827,8.751748371,7.148805449,7.101343198,7.101343198,7.286826709,8.390854601,8.326916985,8.333299216,8.334666703,8.463398886,8.497145061,8.353636068,8.423323568,7.101343198,7.574712495,7.621185203,7.585296454,7.477138179,9.16077982,8.859664089,7.101343198,7.101343198,8.284782568,8.846796773,9.063501984,7.899492299
ACSM2A,7.173789052,7.606681957,7.150917467,7.595208575,7.101343198,7.520065194,8.802717898,8.947451014,7.916944505,7.101343198,8.714537607,8.590754065,8.591733341,8.586848091,7.101343198,7.101343198,7.101343198,7.101343198,7.144973833,7.335646922,8.008450516,7.101343198,8.896666211,7.101343198,8.388935169,8.604133645,8.62237289,8.003196478,7.101343198,7.101343198,7.101343198,7.101343198,7.411603398,7.101343198,7.101343198,7.363299313,7.101343198,8.394040241,7.101343198,7.659934476,7.110250508,8.758706824,8.888620625,7.101343198,7.101343198,7.175082573,8.013108553,7.101343198,7.17991147,7.223530701,7.880394235,7.685304422,7.101343198,7.101343198,7.101343198,7.101343198,7.152058429,7.441140733,7.238816529,7.242461514,7.511125076,8.039579329,8.782585083,7.101343198,8.101343358,9.06222796,8.54565631,8.2369222,7.480165802,7.172972194,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.687725267,7.979780744,7.101343198,7.101343198,7.101343198,7.101343198,7.359763282,7.86909839,7.891468043,7.179671745,7.101343198,7.162235955,7.755280223,7.784078652,7.101343198,7.298156226,7.201456814,7.911076573,7.606145063,7.2767984,7.575433707,7.101343198,7.211490518,7.173698036,7.171928351,7.188229498,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.309258673,7.484240719,7.101343198
ALDOB,8.0729212,8.145308848,8.224790765,8.36371112,8.574802433,9.141338473,9.383149886,9.405717035,8.428076464,9.04764028,9.314813451,9.02057968,9.116862413,9.032215967,8.840228495,7.77720669,8.033294496,8.286362077,7.504001165,8.12408517,9.032220167,8.269494496,9.091427573,8.160857288,8.598020499,8.847931645,9.124488616,8.61396811,7.533967572,7.314949687,7.101343198,7.693144747,8.046852522,7.280254311,7.1923406,8.713906239,7.232594573,9.148401791,8.662921981,8.80653914,7.984118683,9.099814967,9.074300847,7.313387054,9.75854898,8.4008004,9.493412354,7.274802815,7.473070801,8.00828622,8.950558312,7.836378645,8.936104998,8.662171304,7.215692815,7.486902069,8.702028593,8.410268176,8.203394368,7.583967637,8.564526055,8.288794596,9.551119019,8.644003108,8.617321273,8.861129548,9.008718808,8.534642641,7.758823219,7.427470691,7.530021568,7.213837788,7.958927962,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.435367002,7.352542323,8.639689166,7.778003093,8.610749604,8.975790459,8.074517063,8.834964933,8.649086001,8.758902474,7.558152533,7.739701139,7.730316265,7.605397293,8.342759654,8.496307757,8.49346059,8.509598379,8.384559549,8.445650318,8.368972442,8.404535552,7.274641021,7.527820808,7.484587246,7.735672869,7.662438166,9.39586057,8.867375373,7.953210344,7.528256985,7.495021014,9.074824643,8.891327505,8.289763429
AHSG,7.101343198,7.504752203,7.705604984,8.107648611,8.233955476,8.627678136,8.568427689,8.765004643,8.569790552,8.478943792,8.831844069,8.52149107,8.780493143,9.218158711,8.85734792,7.101343198,7.101343198,7.217401663,7.101343198,7.667457903,7.101343198,7.951681148,9.098431162,7.101343198,7.587950509,8.758200393,9.024149374,8.538127059,7.784323492,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.745352905,7.363343401,7.947297659,7.62826498,8.897273959,7.101343198,7.101343198,9.539547323,7.171094213,9.24650999,7.101343198,7.804657942,8.162154677,8.710078321,8.144788817,8.759103891,8.386895375,7.101343198,7.101343198,8.526584033,8.08807798,8.032795891,7.702344875,8.155692901,7.604872316,9.21359041,8.669167774,7.101343198,9.216542577,8.77493991,8.595790293,7.882335738,7.478320046,8.03389486,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.841148133,7.101343198,7.101343198,7.101343198,7.682990895,7.101343198,8.340014422,8.345414353,8.113900446,8.681165388,7.23955174,7.101343198,7.306192258,7.227154202,7.845855413,7.54833429,8.072401223,8.336927779,8.166148636,8.454089989,7.958566866,8.249881016,7.101343198,7.668693198,7.987215689,7.724463511,7.767827097,8.821825426,9.152768796,7.101343198,7.101343198,7.141202121,9.016674775,8.729200946,8.129377152
