gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
RPL23AP7,1.278302828,6.906952673,4.239901482,4.34E-05,0.008557575,1.91653382,UP
FADD,1.372322318,6.208105701,4.23286823,4.46E-05,0.008623097,1.853952908,UP
CHMP4C,1.410800851,5.974979244,4.208989311,4.90E-05,0.009095809,1.773962474,UP
VTN,1.626421554,6.969056562,4.196276455,5.14E-05,0.009108562,1.762130349,UP
ORM2,1.57907214,7.015986482,4.192701402,5.21E-05,0.009108562,1.750350649,UP
TIMM22,1.306135715,6.825463673,4.190761094,5.25E-05,0.009108562,1.725701414,UP
AKR1C4,1.379904681,6.757669434,4.136337436,6.47E-05,0.010933878,1.53600991,UP
HULC,1.520138895,6.73068919,4.124259665,6.78E-05,0.01127085,1.514564297,UP
FGG,1.629159426,7.234219755,4.11041497,7.15E-05,0.01133445,1.470866419,UP
APOH,1.657784637,7.3749716,4.079875101,8.03E-05,0.011996745,1.366890578,UP
CD53,-1.270231031,6.861158355,-4.0705319,8.31E-05,0.012273862,1.335565285,DOWN
TRBV7-4,1.360586296,7.100663078,4.064849079,8.49E-05,0.012273862,1.313209378,UP
MFSD2B,1.246146638,6.876524654,4.059871751,8.66E-05,0.012273862,1.298283817,UP
GSTA2,1.36630723,6.910756656,4.01323412,0.000103159,0.014121887,1.13826817,UP
ADH4,1.6611431,6.894271723,3.933389059,0.00013885,0.016218818,0.88039019,UP
MT1G,1.565987418,7.305971272,3.897951805,0.000158217,0.017738065,0.756346523,UP
APOC3,1.543450937,7.709148511,3.869360938,0.000175692,0.01904058,0.645311453,UP
PLA2G16,1.315523428,6.240333791,3.856208626,0.000184333,0.019489878,0.621485742,UP
RNASE6,-1.241568558,6.335929441,-3.859109518,0.000182393,0.019442819,0.617060613,DOWN
S100A13,1.295556349,6.259431112,3.85092757,0.000187916,0.019550758,0.604568223,UP
HMGCS2,1.548005352,6.847549954,3.823741358,0.00020743,0.021241202,0.525964642,UP
FGB,1.536586267,7.080715103,3.818762494,0.000211207,0.021292611,0.509235789,UP
FMO5,1.294260198,6.683503173,3.815510949,0.000213709,0.021379072,0.498093374,UP
ASS1,1.351264427,6.484103205,3.77352136,0.00024865,0.023777154,0.362121239,UP
CBR1,1.264485341,7.156484378,3.767534253,0.000254053,0.024059832,0.348567123,UP
ACSM2A,1.35223283,6.092536123,3.737940664,0.000282439,0.025507795,0.251716599,UP
SEPP1,1.304075442,6.74519027,3.725823862,0.000294908,0.026450233,0.216263145,UP
HP,1.536891737,7.399062032,3.707062802,0.00031525,0.027164365,0.146867735,UP
SNORD13,-1.433677799,6.973242292,-3.702689656,0.000320179,0.027164365,0.145656991,DOWN
CPB2,1.345822919,6.104400263,3.679228397,0.000347892,0.028067654,0.072394978,UP
COMMD5,1.297779751,6.2673518,3.675121046,0.000352972,0.028067654,0.059379984,UP
AGXT,1.448597313,6.645189475,3.672378569,0.000356403,0.028067654,0.053470525,UP
ORM1,1.444947649,7.16299822,3.670900712,0.000358265,0.028067654,0.044224248,UP
ARG1,1.448877844,6.858708116,3.625992628,0.000419433,0.03116983,-0.091037514,UP
TSPAN7,1.259074434,5.960703085,3.599865655,0.000459431,0.033168886,-0.167465848,UP
IL32,1.319062416,7.051034938,3.568588056,0.000512054,0.035193804,-0.267782441,UP
RAMP3,1.272315481,6.347593602,3.514386827,0.000616945,0.038573899,-0.422539261,UP
RAMP2,1.266068001,5.538008452,3.50717357,0.000632341,0.038790571,-0.442113717,UP
LINC00844,1.380914163,5.892680183,3.392302471,0.000931848,0.048978872,-0.774204513,UP
PAH,1.326001902,6.629669727,3.392076645,0.00093255,0.048978872,-0.776059132,UP
DEFB1,1.322770137,6.1013845,3.326991798,0.001156963,0.055114676,-0.960252556,UP
DESI1,1.252405247,6.768587465,3.313096554,0.001211007,0.055988203,-1.000809676,UP
APOC4,1.302553624,6.248624439,3.303174909,0.00125103,0.057182319,-1.025236833,UP
S100A16,1.361263127,6.429829541,3.280490118,0.001347229,0.06000246,-1.093178925,UP
RBP4,1.354148403,7.273945215,3.250092484,0.00148699,0.063822776,-1.200632451,UP
HAMP,1.243486762,6.318126244,3.041268155,0.002877867,0.08406656,-1.731065501,UP
PTGR1,1.228207132,6.602224863,2.966089522,0.003622147,0.092546201,-1.926184596,UP
RNU2-2P,-1.298940056,7.271586235,-2.803548575,0.005872113,0.113303903,-2.330588445,DOWN
