gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
ALB,1.944733255,8.247060117,7.170575061,6.02E-11,7.83E-07,14.55373651,UP
FABP1,2.263387099,7.491017594,6.607532005,1.05E-09,6.81E-06,11.74050098,UP
ALDOB,1.83269363,7.49292979,6.415550302,2.71E-09,1.18E-05,10.80987051,UP
HRSP12,1.921333763,7.240811357,6.25906322,5.83E-09,1.90E-05,10.05296587,UP
APOA2,1.931088099,8.267763325,6.210886081,7.37E-09,1.92E-05,9.991603496,UP
GATM,1.841636478,6.996533102,5.761414563,6.26E-08,0.000130506,7.833498136,UP
ADH1A,1.978434431,6.919361902,5.736686725,7.02E-08,0.000130506,7.74761965,UP
DCXR,1.470639337,7.646859225,5.595394354,1.35E-07,0.000219566,7.199031086,UP
TCERG1,-1.223253748,6.807965983,-5.475526444,2.34E-07,0.0003375,6.665880895,DOWN
HPD,1.96210444,6.914983039,5.378599426,3.62E-07,0.000416413,6.260673707,UP
ADH1B,1.888980151,7.182025651,5.373432948,3.70E-07,0.000416413,6.244459781,UP
SNORD3B-2,-1.388868489,6.35663007,-5.365310093,3.84E-07,0.000416413,6.242916406,DOWN
SERPINA1,1.611530374,7.678086928,5.245996583,6.54E-07,0.000654624,5.754147587,UP
ANXA1,-1.614826632,6.792317601,-5.203682806,7.89E-07,0.000727875,5.548642853,DOWN
AHSG,1.755670976,6.791802075,5.184936869,8.57E-07,0.000727875,5.467414824,UP
TTR,1.847662949,7.497343885,5.110839618,1.19E-06,0.000856979,5.197990416,UP
ANGPTL3,1.711806621,6.518220269,5.129125985,1.09E-06,0.000837675,5.186477732,UP
AZGP1,1.763793486,6.714163459,5.086145204,1.32E-06,0.000858978,5.053620495,UP
FOS,-1.606418361,6.952812805,-5.066819857,1.44E-06,0.000889816,5.030651016,DOWN
LUC7L3,-1.265251448,7.353597132,-5.0892799,1.30E-06,0.000858978,4.974569925,DOWN
SNORD3B-1,-1.326809209,6.298288972,-4.991001689,1.99E-06,0.001179041,4.726926765,DOWN
AKR1C1,1.376242285,7.254502328,4.913279735,2.78E-06,0.001573609,4.375271476,UP
SNORD3D,-1.221006214,6.099502341,-4.842223301,3.76E-06,0.001882407,4.144064597,DOWN
MT1E,1.593605602,6.919335538,4.758960969,5.34E-06,0.002572828,3.789229361,UP
AKR1C2,1.348766461,7.006389943,4.718677711,6.32E-06,0.002861903,3.610647147,UP
SNORD47,-1.523476044,6.759362878,-4.665186459,7.89E-06,0.003148926,3.465415512,DOWN
ADH1C,1.699365121,7.050416637,4.625380002,9.29E-06,0.003453667,3.292966308,UP
AMBP,1.728956525,7.069865232,4.601817272,1.02E-05,0.003698589,3.217430053,UP
ITM2C,-1.260383817,6.457497858,-4.580772382,1.12E-05,0.003922163,3.146320267,DOWN
TMED4,1.408937233,7.169554097,4.520070789,1.43E-05,0.004530833,2.914767643,UP
GSTA1,1.46210893,7.699197095,4.501265486,1.54E-05,0.004661545,2.851074533,UP
CYP2E1,1.53265698,7.496457355,4.42842259,2.07E-05,0.005715241,2.588759743,UP
APOC2,1.640619135,7.626323207,4.408171294,2.24E-05,0.006067349,2.513726214,UP
MT1F,1.602041988,6.447379973,4.36174367,2.69E-05,0.006607827,2.31647831,UP
STARD10,1.322627584,6.271305082,4.35315604,2.79E-05,0.006709581,2.265244543,UP
APOA1,1.719056353,7.249837653,4.327004499,3.09E-05,0.006808512,2.2245194,UP
MIR584,1.472911341,5.526148342,4.327706068,3.08E-05,0.006808512,2.178468898,UP
C20orf96,1.252172613,7.003248012,4.307588414,3.33E-05,0.007226231,2.154202146,UP
CYB5A,1.467193567,7.52386262,4.277001371,3.76E-05,0.007739153,2.047461684,UP
