gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
CABP5,-1.135311219,7.827580104,-4.073834887,8.21E-05,0.00285802,1.327942764,DOWN
NT5M,-1.139169299,7.741471517,-4.071135346,8.30E-05,0.002872,1.27517559,DOWN
P2RY12,-1.330949201,7.54702169,-4.047017762,9.09E-05,0.003014643,1.194722621,DOWN
HIST1H2BH,-1.076440376,8.541334368,-4.014715089,0.000102623,0.003273109,1.122676036,DOWN
PANX1,-1.144535843,7.667989769,-4.02309904,9.94E-05,0.003208518,1.114296504,DOWN
TESPA1,-1.33203598,7.244740134,-4.017735436,0.000101467,0.003260238,1.040617879,DOWN
SLFN14,-1.246456768,7.438799989,-3.961294715,0.000125253,0.003721261,0.939348467,DOWN
WDR61,1.122056545,6.56287611,3.962455618,0.000124714,0.003713731,0.911015958,UP
ARG2,-1.059473077,7.624814715,-3.93828981,0.0001364,0.003961993,0.859553734,DOWN
SLC10A3,-1.040484878,7.43492277,-3.910336143,0.00015122,0.004277891,0.718227013,DOWN
HIST1H2AG,-1.142907322,7.832456433,-3.879500822,0.000169345,0.00459101,0.70351392,DOWN
MAP3K5,-1.092258604,7.283167747,-3.902380726,0.000155711,0.004348211,0.66897976,DOWN
CLEC12A,-1.274196827,7.256762613,-3.905498265,0.000153936,0.004307897,0.662305636,DOWN
CD27-AS1,-1.055630411,7.564810426,-3.869616557,0.00017558,0.004730479,0.619121505,DOWN
LY6G5C,-1.361526877,7.673535729,-3.862874468,0.000179958,0.004787449,0.614633778,DOWN
PLXDC2,-1.07488077,7.579440872,-3.861497182,0.000180865,0.004793462,0.608404036,DOWN
P2RY1,-1.226339929,7.265613086,-3.862898762,0.000179942,0.004787449,0.574670004,DOWN
TCTA,-1.008942437,7.485306091,-3.842029759,0.000194158,0.005057179,0.5566362,DOWN
CDK5RAP3,1.029719617,6.654292121,3.829308857,0.000203342,0.005229423,0.428104873,UP
ZGLP1,-1.200460413,7.11045806,-3.823942176,0.000207339,0.00531122,0.416596983,DOWN
TGFB1I1,-1.200114495,7.232290864,-3.80448791,0.000222463,0.005599433,0.396863425,DOWN
TRAPPC3L,-1.03081668,8.247610551,-3.776825388,0.000245782,0.005978253,0.372251818,DOWN
STX11,-1.102186095,7.266446664,-3.802075544,0.00022441,0.005615848,0.366903072,DOWN
PPT1,1.037340628,6.635246526,3.785312996,0.000238391,0.005853177,0.343222281,UP
SPDYC,-1.379479172,6.820536373,-3.806046047,0.000221214,0.005578788,0.340921654,DOWN
NOP16,1.120531413,6.467816051,3.76590961,0.000255608,0.0061157,0.310540449,UP
SLC6A6,-1.151966604,6.519662121,-3.814220358,0.00021477,0.00544796,0.257663153,DOWN
RSPH9,-1.33599207,7.101043144,-3.746909292,0.000273607,0.006450076,0.197630278,DOWN
C15orf26,-1.112005153,7.912427846,-3.718002168,0.000303312,0.006956096,0.193757225,DOWN
PEAR1,-1.033154967,7.715419949,-3.710175552,0.000311865,0.007119833,0.131893425,DOWN
BMP6,-1.155181957,7.885090891,-3.689207434,0.000335923,0.007536313,0.098313135,DOWN
FAM212B-AS1,-1.218403636,7.200213883,-3.689969137,0.000335019,0.007529532,0.062145625,DOWN
GNG8,-1.034662219,7.977200461,-3.63874319,0.000401226,0.008573323,-0.049630911,DOWN
GSTM1,-1.046134607,7.002372814,-3.678010427,0.000349479,0.00777396,-0.056306442,DOWN
FCGR2A,-1.052491314,7.429645018,-3.645523735,0.000391801,0.008455239,-0.05670111,DOWN
MYEOV,-1.189045904,7.007811147,-3.670132153,0.000359326,0.007911849,-0.077427203,DOWN
DUSP1,1.350917298,7.247780947,3.613597097,0.000438084,0.009224565,-0.219990734,UP
