gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
RPL23AP7,-1.843068379,6.905176517,-6.180709856,8.54E-09,5.56E-05,9.05707435,DOWN
BCLAF1,1.229839286,7.022851661,5.871796611,3.73E-08,0.000121479,7.634103898,UP
FLJ43681,-1.487595829,6.758244882,-5.771646006,5.97E-08,0.000155491,7.069217291,DOWN
LSM5,1.082190266,6.670215788,5.566247417,1.55E-07,0.000270793,6.580157879,UP
TCERG1,1.175151852,6.806189826,5.452866778,2.59E-07,0.000339837,6.161474352,UP
TPTEP1,-1.012447678,8.098624413,-5.250965053,6.41E-07,0.000439155,5.651832604,DOWN
JAM3,-1.221846306,8.102985726,-5.200273947,8.02E-07,0.000439155,5.481243655,DOWN
RPL23AP82,-1.4480574,6.915791271,-5.305297099,5.03E-07,0.000436455,5.446430263,DOWN
XRN2,1.191466508,6.765118176,5.141563187,1.04E-06,0.000439155,4.911925563,UP
RABL2A,-1.301463769,6.034457539,-5.11752789,1.15E-06,0.000439155,4.301799265,DOWN
TMEM91,-1.062205586,8.293220388,-4.863660451,3.44E-06,0.000560101,4.204672264,DOWN
LPAR5,-1.200760724,7.712641792,-4.882770942,3.17E-06,0.000560101,4.079236821,DOWN
DDX11L2,-1.007929707,7.599990329,-4.891759871,3.05E-06,0.000560101,4.067557218,DOWN
LTV1,1.205229361,6.365636265,4.865445545,3.41E-06,0.000560101,4.049986101,UP
LRMP,-1.331336774,7.606683219,-4.820785521,4.12E-06,0.000583117,3.836643448,DOWN
P2RX1,-1.054787579,8.027826954,-4.767403432,5.16E-06,0.000604837,3.790701017,DOWN
C20orf96,-1.361320619,7.001471856,-4.836053653,3.87E-06,0.000578149,3.789171872,DOWN
LINC01011,-1.115806676,8.071206062,-4.718462421,6.33E-06,0.000668598,3.63064087,DOWN
MMRN1,-1.381395075,7.781724745,-4.728856639,6.06E-06,0.000651784,3.587723455,DOWN
MRPS17,1.113737884,6.192278585,4.738144058,5.83E-06,0.000641886,3.584428664,UP
LINC00989,-1.129210117,8.468449088,-4.65111316,8.37E-06,0.000737305,3.412533969,DOWN
RAMP3,-1.672431094,6.345817445,-4.768541631,5.13E-06,0.000604837,3.342966066,DOWN
ADORA2A,-1.3117848,6.861287527,-4.731993972,5.98E-06,0.000648678,3.316961852,DOWN
SUSD3,-1.234811276,7.547420465,-4.658938331,8.10E-06,0.000737305,3.287231847,DOWN
MPL,-1.244167637,8.156828969,-4.610855934,9.87E-06,0.000802845,3.231344061,DOWN
TRBV7-4,-1.506701035,7.098886921,-4.640805811,8.73E-06,0.000747227,3.15354713,DOWN
TSPAN2,-1.498254005,6.589252505,-4.664458475,7.92E-06,0.000737305,3.038956704,DOWN
MYL4,-1.050668195,8.119412957,-4.540672343,1.31E-05,0.000971962,2.997262836,DOWN
LOC100128164,-1.035127761,7.329377353,-4.629245758,9.15E-06,0.000753985,2.985017787,DOWN
FYB,-1.019677215,8.360303823,-4.494122124,1.59E-05,0.001059192,2.825111747,DOWN
TMSB4Y,-1.437474163,7.436179139,-4.529162993,1.38E-05,0.000979483,2.802805562,DOWN
FAM49B,1.160802002,6.588583837,4.524990787,1.40E-05,0.000990778,2.74155209,UP
TNNC2,-1.044613274,8.339864898,-4.471848198,1.74E-05,0.001086222,2.740381481,DOWN
FOS,1.38461031,6.951036649,4.497531297,1.57E-05,0.001059192,2.727940228,UP
SENCR,-1.238774425,7.770129729,-4.484582866,1.65E-05,0.001067864,2.679765748,DOWN
MIR584,-1.562868697,5.524372186,-4.596047728,1.05E-05,0.000842533,2.630107142,DOWN
FLJ44511,-1.009442073,8.2667272,-4.441251684,1.96E-05,0.001139029,2.62453244,DOWN
VSIG2,-1.065939887,8.052959098,-4.435221953,2.01E-05,0.001146067,2.571615933,DOWN
SELP,-1.040484678,8.236618316,-4.424512923,2.10E-05,0.001162315,2.569068562,DOWN
LOC728975,-1.117364853,8.228369142,-4.426520228,2.08E-05,0.001157957,2.56785825,DOWN
ANGPT1,-1.208727715,7.631694394,-4.434517687,2.02E-05,0.001146067,2.492045696,DOWN
ELK3,-1.102942452,7.638556634,-4.422182036,2.12E-05,0.001168216,2.447576646,DOWN
PDE5A,-1.130179525,8.157007631,-4.381413236,2.49E-05,0.001276737,2.403148778,DOWN
MNAT1,1.024441277,6.49135501,4.414115074,2.19E-05,0.001191298,2.389200023,UP
ARMC3,-1.443092285,6.853692461,-4.431053832,2.04E-05,0.001151929,2.332978981,DOWN
ACSBG1,-1.410630431,7.145232155,-4.364686813,2.66E-05,0.00130765,2.120826521,DOWN
LOC113230,-1.163021838,7.73637931,-4.32167254,3.16E-05,0.001451077,2.119204077,DOWN
HRASLS,-1.420172187,7.635914798,-4.33119079,3.04E-05,0.001412676,2.108961154,DOWN
MAST4-AS1,-1.702138228,6.882543745,-4.343774718,2.89E-05,0.001373712,2.063734024,DOWN
DDX11L8,-1.33392725,6.65569977,-4.376019257,2.55E-05,0.001288461,2.026724794,DOWN
IFI27L2,-1.04295773,8.100412946,-4.260877868,4.00E-05,0.001733036,1.975210324,DOWN
EHD3,-1.108891429,7.855637129,-4.266775382,3.91E-05,0.001714502,1.970476807,DOWN
RABL2B,-1.075089578,5.907892942,-4.388360958,2.42E-05,0.00125342,1.919835568,DOWN
CD9,-1.04901069,8.517162581,-4.182207643,5.43E-05,0.002141653,1.712163957,DOWN
PVALB,-1.164568133,8.389983479,-4.173732833,5.61E-05,0.002173138,1.68623516,DOWN
LUC7L3,1.061194498,7.351820976,4.275387947,3.78E-05,0.001663407,1.650926965,UP
CIDECP,-1.106458092,7.86912349,-4.160875742,5.90E-05,0.00226966,1.622776624,DOWN
GGTA1P,-1.130585091,8.146573466,-4.136440481,6.47E-05,0.002427699,1.549784786,DOWN
CLK1,1.153400664,6.99877446,4.184588832,5.38E-05,0.002128552,1.544098818,UP
MYL1,-1.078697503,6.247647352,-4.264955443,3.94E-05,0.001720924,1.520098471,DOWN
NDRG3,-1.042835238,7.242607189,-4.14389253,6.29E-05,0.002373154,1.476497146,DOWN
TSPAN18,-1.159058144,7.777316014,-4.111529097,7.12E-05,0.002601951,1.432232388,DOWN
WSB1,1.038607405,7.04614346,4.147655399,6.20E-05,0.002352851,1.344950472,UP
