gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
RNF34,-0.923387407,6.628718525,-3.173764697,0.001899734,0.151330799,-1.373339867,DOWN
CUL1,-0.831676029,6.590963203,-3.160191945,0.001983453,0.153540526,-1.409378768,DOWN
TCL1A,0.98203006,5.980732931,3.154709391,0.002018232,0.15439477,-1.426151514,UP
SERPINA1,-0.949357331,7.678086928,-3.158041404,0.001997028,0.153676656,-1.431492065,DOWN
SEC11A,-0.775931724,7.120796843,-3.143085328,0.002093852,0.157402012,-1.457627614,DOWN
CD320,-0.915968798,6.166258393,-3.110624738,0.002319176,0.165719165,-1.538499918,DOWN
MRPL24,-0.98005372,6.338879643,-3.108555907,0.002334273,0.165886442,-1.543068736,DOWN
VTN,-1.112679645,6.969056562,-3.106643633,0.002348308,0.165976877,-1.549113238,DOWN
FBP1,-1.004625421,6.468518983,-3.082522857,0.002532187,0.177250599,-1.6092397,DOWN
CD52,1.024754673,6.214430778,3.08215744,0.002535072,0.177250599,-1.610999581,UP
ICT1,-0.942329723,6.363750008,-3.079753479,0.002554131,0.177628171,-1.616440122,DOWN
ALAD,-0.820645076,6.587087632,-3.067373615,0.002654395,0.180723084,-1.648344743,DOWN
PRG2,0.872099241,5.846175634,3.064039834,0.002682011,0.180723084,-1.665624184,UP
MGMT,-0.88967157,6.723018004,-3.044878523,0.002845958,0.186927668,-1.704638714,DOWN
NDUFV1,-0.846095915,6.853546719,-3.029562025,0.002983615,0.191889631,-1.746201813,DOWN
ADH4,-1.112353962,6.894271723,-2.999578379,0.003271053,0.200660595,-1.831337939,DOWN
IGKJ1,1.083074418,6.136546562,2.984821452,0.003421707,0.204337539,-1.870763228,UP
AKR1C1,-0.795305789,7.254502328,-2.960333181,0.00368588,0.211166802,-1.919887828,DOWN
C17orf89,-0.847665388,6.94299381,-2.949596122,0.003807523,0.213818517,-1.94699449,DOWN
ENOSF1,-0.830377746,6.138304973,-2.940637354,0.003911834,0.214655714,-1.962966085,DOWN
ACBD6,0.793073848,6.144560744,2.944195254,0.003870097,0.213818517,-1.966172331,UP
B3GNT2,-0.811215765,6.18759931,-2.933117404,0.004001414,0.215926901,-1.981221362,DOWN
CXCR3,0.785827467,5.724580629,2.944477045,0.003866809,0.213818517,-2.000554638,UP
PPA2,-0.785809997,6.955595418,-2.928648268,0.00405554,0.217943381,-2.006194746,DOWN
BOLA3,-0.86476683,6.860736993,-2.924870741,0.004101814,0.218836636,-2.010354062,DOWN
URM1,-0.779135242,6.247006338,-2.903188001,0.004376935,0.225881102,-2.053368758,DOWN
MCM5,-0.774627208,6.64698444,-2.883068836,0.004647257,0.234933081,-2.109575035,DOWN
GMFB,-0.873788887,6.589885649,-2.870466927,0.004824283,0.239461249,-2.133259031,DOWN
PIN1,-0.878533361,6.615208056,-2.853486827,0.005072583,0.243427807,-2.175136937,DOWN
AAMP,-0.843490916,6.326459191,-2.849652552,0.005130245,0.243951783,-2.181174443,DOWN
NSMCE2,-0.918089913,6.340850391,-2.844188461,0.005213455,0.245655734,-2.197330248,DOWN
UTP6,-0.83047992,6.104781183,-2.83755695,0.0053161,0.247993005,-2.210427837,DOWN
MRPL50,-0.918002526,6.42104881,-2.834857892,0.005358403,0.247993005,-2.218184522,DOWN
CFHR2,-0.910231836,6.652057046,-2.836564428,0.00533162,0.247993005,-2.219765651,DOWN
UQCRC1,-0.845207006,7.083033344,-2.821608888,0.005570557,0.251340933,-2.25688392,DOWN
OCIAD2,-0.81433494,7.217974604,-2.819521002,0.005604681,0.251340933,-2.28574227,DOWN
AURKA,-0.777202773,5.951074815,-2.801754889,0.005902862,0.259347008,-2.295355648,DOWN
ATIC,-0.834192062,6.496621102,-2.786100047,0.006177526,0.263405679,-2.330446989,DOWN
ADH1C,-0.95888574,7.050416637,-2.77186067,0.00643742,0.271167269,-2.381647681,DOWN
CPSF3,-0.82477976,6.193661642,-2.755049913,0.00675704,0.276337448,-2.40124088,DOWN
CCDC28B,-0.887143755,6.980735649,-2.753627244,0.006784741,0.276600493,-2.427200175,DOWN
ABCC13,0.773354675,6.078571343,2.732754109,0.007203211,0.286353285,-2.504179717,UP
GOT2,-0.837416151,6.587535963,-2.707032048,0.007751083,0.294745141,-2.513838078,DOWN
PRAP1,-0.830799519,6.521362564,-2.707508376,0.007740603,0.294745141,-2.515439179,DOWN
MRPL46,-0.858005893,6.285422666,-2.701494291,0.007873871,0.296810708,-2.523799546,DOWN
ACY1,-0.854141613,6.695776122,-2.702640419,0.007848314,0.296707353,-2.524180363,DOWN
RAD51C,-0.803241576,6.559497406,-2.678941854,0.008392345,0.304867175,-2.580291896,DOWN
SNORA12,0.833837731,5.949319287,2.671486138,0.00857043,0.30789626,-2.609437791,UP
FAM49B,0.792423792,6.590359993,2.657690933,0.00890898,0.312323589,-2.622206996,UP
GADD45GIP1,-0.826145974,6.51452056,-2.656987005,0.008926575,0.312323589,-2.627435511,DOWN
TUBG1,-0.77461035,6.319333444,-2.645995546,0.009205417,0.316614134,-2.647223261,DOWN
AGXT,-0.93677864,6.645189475,-2.652513491,0.009039129,0.312643275,-2.64835945,DOWN
PEPD,-0.784145274,6.468556347,-2.631010575,0.009598246,0.316614134,-2.683026983,DOWN
LINC00493,-0.805069955,7.078238928,-2.638685604,0.009395195,0.316614134,-2.691169546,DOWN
DGCR6,-0.782631077,6.573458718,-2.626704938,0.009713882,0.316614134,-2.692865514,DOWN
ASS1,-0.838915132,6.484103205,-2.626901942,0.009708564,0.316614134,-2.694509212,DOWN
ALDH1A1,-0.81399864,7.271741322,-2.627687515,0.009687383,0.316614134,-2.726759776,DOWN
